Filename,Storm,Storm_ID,Storm_Datetime,Storm_Epoch,Lat,Lon,Intensity_ms,MSLP_hPa,TC_Category,Observation_Variables,Observation_Groups,Group_Counts_JSON
HRDOBS_MATTHEW14L.201610051200_AI_READY.hdf5,MATTHEW,MATTHEW14L,2016-10-05T12:00:00Z,1475668800, 11.50, -84.90,54.01662063598633,962.0,HU,"az, clat, clon, elev, ght, lat, lon, p, pmin, q, qerr, rmw, rr, rvel, rvelerr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax, w, werr","dropsonde_ghawk, dropsonde_noaa43, dropsonde_noaa49, dropsonde_usaf, flight_level_hdobs_noaa43, flight_level_hdobs_noaa49, flight_level_hdobs_usaf, sfmr_noaa43, sfmr_usaf, tdr_noaa43, tdr_noaa49, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_ghawk"": 184, ""dropsonde_noaa43"": 417, ""dropsonde_noaa49"": 1237, ""dropsonde_usaf"": 250, ""flight_level_hdobs_noaa43"": 586, ""flight_level_hdobs_noaa49"": 226, ""flight_level_hdobs_usaf"": 607, ""sfmr_noaa43"": 292, ""sfmr_usaf"": 514, ""tdr_noaa43"": 42968, ""tdr_noaa49"": 8057, ""track_best_track"": 3, ""track_spline_track"": 366, ""track_vortex_message"": 7}"
HRDOBS_NICOLE15L.201610130000_AI_READY.hdf5,NICOLE,NICOLE15L,2016-10-13T00:00:00Z,1476316800, 19.60, -76.50,59.16106033325195,954.0,HU,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, rr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","dropsonde_usaf, flight_level_hdobs_usaf, sfmr_usaf, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_usaf"": 211, ""flight_level_hdobs_usaf"": 566, ""sfmr_usaf"": 392, ""track_best_track"": 3, ""track_spline_track"": 362, ""track_vortex_message"": 2}"
HRDOBS_MATTHEW14L.201610041200_AI_READY.hdf5,MATTHEW,MATTHEW14L,2016-10-04T12:00:00Z,1475582400,  8.50, -84.30,64.30549621582031,937.0,HU,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, rr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","dropsonde_usaf, flight_level_hdobs_usaf, sfmr_usaf, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_usaf"": 77, ""flight_level_hdobs_usaf"": 565, ""sfmr_usaf"": 474, ""track_best_track"": 4, ""track_spline_track"": 362, ""track_vortex_message"": 2}"
HRDOBS_NICOLE15L.201610131200_AI_READY.hdf5,NICOLE,NICOLE15L,2016-10-13T12:00:00Z,1476360000, 21.60, -75.10,56.58884048461914,956.0,HU,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, rr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","dropsonde_usaf, flight_level_hdobs_usaf, sfmr_usaf, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_usaf"": 183, ""flight_level_hdobs_usaf"": 439, ""sfmr_usaf"": 218, ""track_best_track"": 4, ""track_spline_track"": 361, ""track_vortex_message"": 2}"
HRDOBS_MATTHEW14L.201610040000_AI_READY.hdf5,MATTHEW,MATTHEW14L,2016-10-04T00:00:00Z,1475539200,  6.60, -84.60,66.87771606445312,934.0,HU,"az, clat, clon, elev, ght, lat, lon, p, pmin, q, qerr, rmw, rr, rvel, rvelerr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax, w, werr","dropsonde_noaa49, dropsonde_usaf, flight_level_hdobs_noaa49, flight_level_hdobs_usaf, sfmr_usaf, tdr_noaa49, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_noaa49"": 2803, ""dropsonde_usaf"": 235, ""flight_level_hdobs_noaa49"": 407, ""flight_level_hdobs_usaf"": 698, ""sfmr_usaf"": 530, ""tdr_noaa49"": 8714, ""track_best_track"": 3, ""track_spline_track"": 363, ""track_vortex_message"": 3}"
HRDOBS_MATTHEW14L.201610050000_AI_READY.hdf5,MATTHEW,MATTHEW14L,2016-10-05T00:00:00Z,1475625600, 10.10, -84.30,59.16106033325195,949.0,HU,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, rr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax, w, werr","dropsonde_noaa49, dropsonde_usaf, flight_level_hdobs_noaa49, flight_level_hdobs_usaf, sfmr_usaf, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_noaa49"": 1168, ""dropsonde_usaf"": 86, ""flight_level_hdobs_noaa49"": 319, ""flight_level_hdobs_usaf"": 620, ""sfmr_usaf"": 478, ""track_best_track"": 3, ""track_spline_track"": 364, ""track_vortex_message"": 2}"
HRDOBS_NICOLE15L.201610121200_AI_READY.hdf5,NICOLE,NICOLE15L,2016-10-12T12:00:00Z,1476273600, 18.00, -76.90,48.8721809387207,969.0,HU,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, rr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","dropsonde_usaf, flight_level_hdobs_usaf, sfmr_usaf, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_usaf"": 125, ""flight_level_hdobs_usaf"": 539, ""sfmr_usaf"": 492, ""track_best_track"": 3, ""track_spline_track"": 362, ""track_vortex_message"": 2}"
HRDOBS_EARL05L.201608060000_AI_READY.hdf5,EARL,EARL05L,2016-08-06T00:00:00Z,1470441600,  8.80,-105.60,25.722200393676758,999.0,TS,"clat, clon, ght, lat, lon, p, pmin, q, qerr, rmw, rr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","dropsonde_usaf, flight_level_hdobs_usaf, sfmr_usaf, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_usaf"": 20, ""flight_level_hdobs_usaf"": 259, ""sfmr_usaf"": 227, ""track_best_track"": 4, ""track_spline_track"": 257, ""track_vortex_message"": 1}"
HRDOBS_JAVIER11E.201608091200_AI_READY.hdf5,JAVIER,JAVIER11E,2016-08-09T12:00:00Z,1470744000, 13.40,-120.80,15.433320045471191,1005.0,TD,"az, clat, clon, elev, ght, lat, lon, p, pmin, q, qerr, rmw, rr, rvel, rvelerr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","dropsonde_noaa43, flight_level_hdobs_noaa43, sfmr_noaa43, tdr_noaa43, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_noaa43"": 124, ""flight_level_hdobs_noaa43"": 336, ""sfmr_noaa43"": 146, ""tdr_noaa43"": 13294, ""track_best_track"": 3, ""track_spline_track"": 180, ""track_vortex_message"": 1}"
HRDOBS_JAVIER11E.201608090000_AI_READY.hdf5,JAVIER,JAVIER11E,2016-08-09T00:00:00Z,1470700800, 12.30,-119.60,25.722200393676758,999.0,TS,"az, clat, clon, elev, ght, lat, lon, p, pmin, q, qerr, rmw, rr, rvel, rvelerr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","dropsonde_noaa43, flight_level_hdobs_noaa43, flight_level_hdobs_usaf, sfmr_noaa43, tdr_noaa43, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_noaa43"": 149, ""flight_level_hdobs_noaa43"": 694, ""flight_level_hdobs_usaf"": 16, ""sfmr_noaa43"": 400, ""tdr_noaa43"": 31938, ""track_best_track"": 4, ""track_spline_track"": 363, ""track_vortex_message"": 2}"
HRDOBS_HERMINE09L.201609011200_AI_READY.hdf5,HERMINE,HERMINE09L,2016-09-01T12:00:00Z,1472731200, 17.00, -96.20,30.866640090942383,991.0,TS,"az, clat, clon, elev, ght, lat, lon, p, pmin, q, qerr, rmw, rr, rvel, rvelerr, sfcdir, sfcp, sfcspd, spd, spderr, t, terr, time, u, uerr, v, verr, vmax, w, werr","dropsonde_ghawk, dropsonde_noaa43, dropsonde_usaf, flight_level_hdobs_noaa43, flight_level_hdobs_usaf, sfmr_noaa43, sfmr_usaf, tdr_noaa43, track_best_track, track_spline_track, track_vortex_message","{""dropsonde_ghawk"": 6935, ""dropsonde_noaa43"": 67, ""dropsonde_usaf"": 11, ""flight_level_hdobs_noaa43"": 397, ""flight_level_hdobs_usaf"": 192, ""sfmr_noaa43"": 304, ""sfmr_usaf"": 126, ""tdr_noaa43"": 53965, ""track_best_track"": 3, ""track_spline_track"": 363, ""track_vortex_message"": 3}"
HRDOBS_EIGHT08L.201608291800_AI_READY.hdf5,EIGHT,EIGHT08L,2016-08-29T18:00:00Z,1472493600, 23.40, -83.80,15.433320045471191,1012.0,TD,"az, clat, clon, elev, ght, lat, lon, p, pmin, q, qerr, rmw, rr, rvel, rvelerr, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","dropsonde_usaf, flight_level_hdobs_noaa43, flight_level_hdobs_usaf, sfmr_noaa43, sfmr_usaf, tdr_noaa43, track_best_track, track_spline_track","{""dropsonde_usaf"": 52, ""flight_level_hdobs_noaa43"": 120, ""flight_level_hdobs_usaf"": 580, ""sfmr_noaa43"": 82, ""sfmr_usaf"": 537, ""tdr_noaa43"": 14527, ""track_best_track"": 3, ""track_spline_track"": 364}"
HRDOBS_EIGHT08L.201608281800_AI_READY.hdf5,EIGHT,EIGHT08L,2016-08-28T18:00:00Z,1472407200, 21.60, -80.70,15.433320045471191,1010.0,TD,"az, clat, clon, elev, ght, lat, lon, p, pmin, q, qerr, rmw, rr, rvel, rvelerr, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","dropsonde_usaf, flight_level_hdobs_noaa43, flight_level_hdobs_usaf, sfmr_usaf, tdr_noaa43, track_best_track, track_spline_track","{""dropsonde_usaf"": 97, ""flight_level_hdobs_noaa43"": 20, ""flight_level_hdobs_usaf"": 620, ""sfmr_usaf"": 543, ""tdr_noaa43"": 25410, ""track_best_track"": 3, ""track_spline_track"": 362}"
HRDOBS_EIGHT08L.201608290600_AI_READY.hdf5,EIGHT,EIGHT08L,2016-08-29T06:00:00Z,1472450400, 22.40, -82.70,15.433320045471191,1010.0,TD,"az, clat, clon, elev, ght, lat, lon, p, pmin, q, qerr, rmw, rr, rvel, rvelerr, spd, spderr, t, terr, time, u, uerr, v, verr, vmax","flight_level_hdobs_noaa43, sfmr_noaa43, tdr_noaa43, track_best_track, track_spline_track","{""flight_level_hdobs_noaa43"": 100, ""sfmr_noaa43"": 63, ""tdr_noaa43"": 12336, ""track_best_track"": 3, ""track_spline_track"": 361}"
HRDOBS_NINE09L.201608301200_AI_READY.hdf5,NINE,NINE09L,2016-08-30T12:00:00Z,1472558400, 13.90, -96.90,15.433320045471191,1003.0,TD,"az, clat, clon, elev, ght, lat, lon, p, pmin, q, qerr, rmw, rr, rvel, rvelerr, spd, spderr, t, terr, time, u, uerr, v, verr, vmax, w, werr","dropsonde_ghawk, dropsonde_noaa43, flight_level_hdobs_noaa43, sfmr_noaa43, tdr_noaa43, track_best_track","{""dropsonde_ghawk"": 6635, ""dropsonde_noaa43"": 87, ""flight_level_hdobs_noaa43"": 358, ""sfmr_noaa43"": 295, ""tdr_noaa43"": 35947, ""track_best_track"": 3}"
HRDOBS_NINE09L.201608300000_AI_READY.hdf5,NINE,NINE09L,2016-08-30T00:00:00Z,1472515200, 13.90, -95.30,15.433320045471191,1003.0,TD,"az, clat, clon, elev, ght, lat, lon, p, pmin, q, qerr, rmw, rr, rvel, rvelerr, spd, spderr, t, terr, time, u, uerr, v, verr, vmax, w, werr","dropsonde_ghawk, dropsonde_noaa43, flight_level_hdobs_noaa43, flight_level_hdobs_usaf, sfmr_noaa43, tdr_noaa43, track_best_track","{""dropsonde_ghawk"": 359, ""dropsonde_noaa43"": 153, ""flight_level_hdobs_noaa43"": 447, ""flight_level_hdobs_usaf"": 60, ""sfmr_noaa43"": 403, ""tdr_noaa43"": 10986, ""track_best_track"": 3}"
